Temps;Mouvement X
0;0,078625347306394
0,0336134;0,078625347306394
0,0672268;0,0801111660171181
0,1008402;0,0815969847278422
0,1344536;0,0815969847278422
0,168067;0,0845686221492903
0,2016804;0,0890260782814625
0,2352938;0,0919977157029107
0,2689072;0,0964551718350829
0,3025206;0,099426809256531
0,336134;0,106855902810151
0,3697474;0,111313358942324
0,4033608;0,115770815074496
0,4369742;0,121714089917392
0,4705876;0,127657364760288
0,504201;0,133600639603185
0,5378144;0,138058095735357
0,5714278;0,142515551867529
0,6050412;0,148458826710426
0,6386546;0,154402101553322
0,672268;0,158859557685494
0,7058814;0,163317013817666
0,7394948;0,169260288660563
0,7731082;0,173717744792735
0,8067216;0,178175200924907
0,840335;0,182632657057079
0,8739484;0,187090113189252
0,9075618;0,1900617506107
0,9411752;0,193033388032148
0,9747886;0,194519206742872
1,008402;0,19749084416432
1,0420154;0,200462481585768
1,0756288;0,203434119007216
1,1092422;0,204919937717941
1,1428556;0,206405756428665
1,176469;0,206405756428665
1,2100824;0,207891575139389
1,2436958;0,207891575139389
1,2773092;0,209377393850113
1,3109226;0,212349031271561
1,344536;0,215320668693009
1,3781494;0,216806487403733
1,4117628;0,218292306114457
1,4453762;0,221263943535905
1,4789896;0,225721399668078
1,512603;0,227207218378802
1,5462164;0,23017885580025
1,5798298;0,236122130643146
1,6134432;0,23760794935387
1,6470566;0,242065405486042
1,68067;0,245037042907491
1,7142834;0,249494499039663
1,7478968;0,252466136461111
1,7815102;0,256923592593283
1,8151236;0,261381048725455
1,848737;0,264352686146903
1,8823504;0,268810142279076
1,9159638;0,271781779700524
1,9495772;0,276239235832696
1,9831906;0,280696691964868
2,016804;0,285154148097041
2,0504174;0,291097422939937
2,0840308;0,295554879072109
2,1176442;0,300012335204281
2,1512576;0,304469791336454
2,184871;0,308927247468626
2,2184844;0,313384703600798
2,2520978;0,316356341022246
2,2857112;0,320813797154418
2,3193246;0,322299615865142
2,352938;0,326757071997315
2,3865514;0,331214528129487
2,4201648;0,334186165550935
2,4537782;0,340129440393831
2,4873916;0,344586896526004
2,521005;0,349044352658176
2,5546184;0,354987627501072
2,5882318;0,359445083633244
2,6218452;0,363902539765417
2,6554586;0,368359995897589
2,689072;0,372817452029761
2,7226854;0,375789089451209
2,7562988;0,38321818300483
2,7899122;0,387675639137002
2,8235256;0,395104732690622
2,857139;0,395104732690622
2,8907524;0,399562188822794
2,9243658;0,404019644954967
2,9579792;0,406991282376415
2,9915926;0,412934557219311
3,025206;0,420363650772932
3,0588194;0,427792744326552
3,0924328;0,435221837880172
3,1260462;0,442650931433793
3,1596596;0,450080024987413
3,193273;0,458994937251757
3,2268864;0,466424030805378
3,2604998;0,47088148693755
3,2941132;0,475338943069722
3,3277266;0,479796399201895
3,36134;0,482768036623343
3,3949534;0,487225492755515
3,4285668;0,490197130176963
3,4621802;0,493168767598411
3,4957936;0,496140405019859
3,529407;0,499112042441307
3,5630204;0,50356949857348
3,5966338;0,508026954705652
3,6302472;0,509512773416376
3,6638606;0,509512773416376
3,697474;0,506541135994928
3,7310874;0,50356949857348
3,7647008;0,500597861152032
3,7983142;0,491682948887687
3,8319276;0,485739674044791
3,865541;0,47831058049117
3,8991544;0,47088148693755
3,9327678;0,460480755962481
3,9663812;0,450080024987413
3,9999946;0,439679294012344
4,033608;0,427792744326552
4,0672214;0,415906194640759
4,1008348;0,405505463665691
4,1344482;0,396590551401346
4,1680616;0,384704001715554
4,201675;0,378760726872657
