Temps;Mouvement X
0;0,379987127695995
NAN;NAN
0,0666666;0,375622595001712
0,0999999;0,371258062307429
0,1333332;0,369075795960288
0,1666665;0,363620130092434
0,1999998;0,359255597398151
0,2333331;0,354891064703869
0,2666664;0,347253132488874
0,2999997;0,34179746662102
0,333333;0,334159534406025
0,3666663;0,32543046901746
0,3999996;0,316701403628894
0,4333329;0,306881205066758
0,4666662;0,301425539198904
0,4999995;0,302516672372475
0,5333328;0,302516672372475
0,5666661;0,304698938719617
0,5999994;0,300334406025334
0,6333327;0,297061006504622
0,666666;0,29487874015748
0,6999993;0,289423074289627
0,7333326;0,286149674768915
0,7666659;0,283967408421773
0,7999992;0,281785142074632
0,8333325;0,281785142074632
0,8666658;0,27851174255392
0,8999991;0,276329476206779
0,9333324;0,271964943512496
0,9666657;0,268691543991784
0,999999;0,266509277644642
1,0333323;0,264327011297501
1,0666656;0,26323587812393
1,0999989;0,259962478603218
1,1333322;0,257780212256077
1,1666655;0,254506812735365
1,1999988;0,251233413214653
1,2333321;0,249051146867511
1,2666654;0,24686888052037
1,2999987;0,244686614173228
1,333332;0,241413214652516
1,3666653;0,237048681958233
1,3999986;0,235957548784663
1,4333319;0,232684149263951
1,4666652;0,230501882916809
1,4999985;0,227228483396097
1,5333318;0,225046217048956
1,5666651;0,222863950701815
1,5999984;0,218499418007532
1,6333317;0,21631715166039
1,666665;0,21522601848682
1,6999983;0,211952618966108
1,7333316;0,208679219445395
1,7666649;0,205405819924683
